0	0	-1	0.221035	24.491	0.996921	0.0411689	-1.02395	2.79162
0	0	-1	510.17	54301.6	0.998328	0.0419949	-1.0503	2.74853
0	0	2	470.97	54927.8	0.992018	0.0413628	-1.04522	2.72838
0	0	3	468.048	54810.6	0.993199	0.0414226	-1.0381	2.78354
0	0	4	471.03	54750.1	0.99444	0.0414552	-1.03578	2.79561
0	0	5	460.166	54615.2	0.995709	0.0415982	-1.03805	2.79348
0	0	6	491.677	54487.8	0.996975	0.0417263	-1.03942	2.79446
0	0	7	510.075	54302.7	0.998327	0.0419934	-1.05023	2.7488
0	0	8	535.796	54106.1	0.999694	0.042257	-1.05883	2.72221
0	0	9	547.699	53978	1.00103	0.0424287	-1.06518	2.69442
0	0	10	549.246	53825.2	1.00241	0.0426341	-1.07058	2.68454
0	0	11	571.392	53678.2	1.00378	0.0428402	-1.07735	2.66987
0	0	12	581.276	53582.4	1.00506	0.0429491	-1.07917	2.66674
0	0	13	579.814	53432.1	1.00641	0.0431507	-1.08448	2.65374
0	0	14	553.389	53311.5	1.00778	0.0433435	-1.09526	2.59613
0	0	15	551.979	53205.8	1.00905	0.0434798	-1.09941	2.58015
0	0	16	582.663	53040	1.01037	0.0436719	-1.10379	2.57077
0	0	17	602.129	52913.9	1.01162	0.0437865	-1.10418	2.56891
0	1	-1	0.560921	71.8089	1.00044	0.0411136	-0.893548	2.61719
0	1	-1	1317.67	154106	1.00208	0.0418788	-0.901462	2.59716
0	1	2	1218.5	156311	0.992464	0.0413001	-0.914359	2.48028
0	1	3	1201.31	155953	0.994387	0.041395	-0.9126	2.49357
0	1	4	1247.5	155586	0.996261	0.0414388	-0.905715	2.53711
0	1	5	1244.46	155110	0.998133	0.0415489	-0.901738	2.56842
0	1	6	1235.04	154616	1.00008	0.0417035	-0.900808	2.58677
0	1	7	1317.67	154106	1.00208	0.0418788	-0.901462	2.59716
0	1	8	1437.06	153524	1.00407	0.0420909	-0.902523	2.60545
0	1	9	1553.11	152967	1.00614	0.0423271	-0.90671	2.59924
0	1	10	1622.79	152269	1.00834	0.0427159	-0.919602	2.55024
0	1	11	1635.47	151689	1.01051	0.0430451	-0.929999	2.51477
0	1	12	1587.07	151143	1.01273	0.0433982	-0.945708	2.44475
0	1	13	1505.73	150626	1.01481	0.0436826	-0.955739	2.40305
0	1	14	1522.43	150161	1.01678	0.0438731	-0.958389	2.39799
0	1	15	1599.64	149783	1.01866	0.0439726	-0.955143	2.4193
0	1	16	1662.82	149225	1.02054	0.0441025	-0.948055	2.47076
0	1	17	1682.71	148701	1.02249	0.044265	-0.94644	2.49117
0	2	-1	0.925024	116.53	1.00307	0.041935	-0.800436	2.39102
0	2	-1	1868.54	229969	1.0048	0.0431372	-0.809982	2.33761
0	2	2	1784.56	234518	0.992257	0.0421445	-0.813431	2.27418
0	2	3	1683.96	233727	0.994904	0.0424336	-0.821345	2.24386
0	2	4	1643.51	232903	0.997396	0.0426051	-0.820284	2.25574
0	2	5	1706.65	232058	0.99981	0.0427054	-0.815207	2.28123
0	2	6	1661.45	231031	1.00226	0.0428905	-0.811032	2.31489
0	2	7	1868.68	229969	1.0048	0.0431372	-0.809976	2.33765
0	2	8	2055.4	228896	1.00748	0.0434735	-0.815262	2.32829
0	2	9	2242.26	227851	1.0102	0.0438294	-0.822468	2.30373
0	2	10	2233.08	226740	1.01313	0.0443439	-0.839218	2.24253
0	2	11	2214.57	225758	1.01594	0.044737	-0.850299	2.2029
0	2	12	2184.85	224851	1.01868	0.0450791	-0.860233	2.16335
0	2	13	2272.29	223866	1.02126	0.0453278	-0.860414	2.17419
0	2	14	2282.19	223090	1.02373	0.0454199	-0.854616	2.20174
0	2	15	2412.23	221964	1.02634	0.0456778	-0.853234	2.22515
0	2	16	2585.16	220767	1.02906	0.0460358	-0.858005	2.21755
0	2	17	2761.84	219762	1.03174	0.0463306	-0.860246	2.22313
0	3	-1	27.7324	252.815	0.992983	0.0125064	-0.799006	8.84896
0	3	-1	2044.06	218614	1.00757	0.0448935	-0.744556	2.18876
0	3	2	1667.3	223731	0.99214	0.0435025	-0.741986	2.13219
0	3	3	1568.16	222901	0.995381	0.0438607	-0.74959	2.10982
0	3	4	1561.32	221831	0.998513	0.0441884	-0.75265	2.10622
0	3	5	1666.56	220878	1.00142	0.0443233	-0.746144	2.14811
0	3	6	1766.08	219791	1.00442	0.0445424	-0.742726	2.17797
0	3	7	2044.19	218614	1.00757	0.0448934	-0.744549	2.18881
0	3	8	2211.11	217279	1.01097	0.0454535	-0.756297	2.15029
0	3	9	2239.07	216145	1.01436	0.0459909	-0.769524	2.10362
0	3	10	2083.56	215182	1.01776	0.0464893	-0.784388	2.04312
0	3	11	2156.83	214181	1.0209	0.046823	-0.787844	2.0364
0	3	12	2238.39	213218	1.02394	0.047063	-0.786346	2.0538
0	3	13	2327.96	212160	1.02692	0.0472733	-0.781479	2.08791
0	3	14	2585.63	210823	1.03014	0.0477163	-0.787067	2.07412
0	3	15	2756.47	209665	1.03345	0.0481703	-0.795426	2.04887
0	3	16	2905.59	208548	1.03685	0.0486741	-0.808483	1.99555
0	3	17	2857.15	207569	1.04025	0.0491532	-0.822714	1.93688
0	4	-1	0.733408	88.0382	1.0081	0.0452797	-0.670262	2.13681
0	4	-1	1463.79	152714	1.00934	0.0470569	-0.695253	2.08268
0	4	2	1312.25	156795	0.9916	0.0451996	-0.686851	2.03335
0	4	3	1271.28	156016	0.995392	0.0457459	-0.698263	1.99544
0	4	4	1226.59	155332	0.998958	0.0460873	-0.701445	1.99597
